Insurance	HaveEmail	HaveFitbit	Gdr_Cd	AgeBand	MbrCnt	Age	Female	HasEmail	HasFitbit	IP Admit	ER Visit	PMPM	Med	Ip	Op	Dr	Er	Rx	Charlson	AIDS_HIV	AMI	Angina	Cancer	CEVD	CHF	COPD	Dementia	Diabetes	HTN	Liver	Paralysis	PVD	Renal_Failure	Rheumatic	Ulcers	Depression	Skin
Other	No	No	F	18-44	541506	30.369580	1.000000	0.000000	0.000000	0.049197	0.180792	268.860288	245.606336	70.607961	78.508278	66.167901	30.322194	23.253951	0.192422	0.000260	0.000299	0.001213	0.004845	0.001929	0.001095	0.038496	0.000105	0.012705	0.027763	0.006369	0.000655	0.001403	0.001168	0.004064	0.001133	0.053325	0.005630
UHC-FI	No	No	F	18-44	275671	30.829833	1.000000	0.000000	0.000000	0.066227	0.225355	331.412406	294.115937	87.358909	92.651826	77.648118	36.457082	37.296468	0.240072	0.000275	0.000362	0.001316	0.006119	0.002423	0.001291	0.046573	0.000141	0.015888	0.036409	0.008412	0.000772	0.001621	0.001385	0.004795	0.001454	0.065654	0.007178
Uni-ASO	No	No	F	18-44	813204	30.027295	1.000000	0.000000	0.000000	0.065118	0.232781	340.613421	331.856886	94.249411	105.680248	91.029803	40.897422	8.756535	0.250879	0.000355	0.000332	0.001422	0.006104	0.002361	0.001400	0.048729	0.000100	0.016805	0.037277	0.008149	0.000889	0.001760	0.001704	0.005414	0.001430	0.070527	0.007203
NULL	No	No	F	18-44	1630381	30.276676	1.000000	0.000000	0.000000	0.060018	0.214258	315.225978	296.828708	85.232194	94.452601	80.509678	36.634233	18.397269	0.229636	0.000310	0.000326	0.001335	0.005688	0.002228	0.001280	0.044966	0.000109	0.015288	0.033970	0.007602	0.000791	0.001618	0.001472	0.004861	0.001335	0.063989	0.006676
Other	Yes	No	F	18-44	362094	33.985581	1.000000	1.000000	0.000000	0.089821	0.232348	560.403708	485.057334	138.674605	164.752769	140.128681	41.501278	75.346374	0.385024	0.000731	0.000560	0.002604	0.011900	0.004040	0.002162	0.065615	0.000132	0.029809	0.066830	0.013446	0.000916	0.003013	0.002836	0.010574	0.001900	0.093478	0.008754
UHC-FI	Yes	No	F	18-44	306216	33.557864	1.000000	1.000000	0.000000	0.081772	0.224994	491.388984	400.635816	114.237212	135.011670	112.866646	38.520286	90.753167	0.367079	0.000551	0.000574	0.002468	0.010900	0.003353	0.002001	0.062191	0.000107	0.027029	0.063896	0.012432	0.000881	0.002459	0.002831	0.009855	0.001796	0.094449	0.008771
Uni-ASO	Yes	No	F	18-44	657516	33.895899	1.000000	1.000000	0.000000	0.091965	0.243928	515.572785	487.796483	142.023724	160.239910	140.206578	45.326270	27.776301	0.364778	0.000634	0.000612	0.002389	0.010644	0.003599	0.002193	0.061105	0.000132	0.028029	0.065192	0.013029	0.000888	0.002726	0.002857	0.009587	0.002118	0.088922	0.008626
NULL	Yes	No	F	18-44	1325826	33.842318	1.000000	1.000000	0.000000	0.089026	0.236393	522.230930	466.917559	134.691411	155.645633	133.870806	42.709706	55.313370	0.370839	0.000641	0.000589	0.002466	0.011046	0.003663	0.002140	0.062588	0.000126	0.028285	0.065340	0.013005	0.000894	0.002743	0.002845	0.009919	0.001984	0.091443	0.008694
NULL	NULL	No	F	18-44	2956207	31.875827	1.000000	0.448488	0.000000	0.073028	0.224185	408.065399	373.111668	107.414104	121.896996	104.441551	39.359015	34.953730	0.292964	0.000459	0.000444	0.001842	0.008091	0.002871	0.001666	0.052869	0.000117	0.021117	0.048039	0.010025	0.000837	0.002122	0.002088	0.007129	0.001626	0.076302	0.007582
Other	Yes	Yes	F	18-44	56842	34.420534	1.000000	1.000000	1.000000	0.076967	0.173498	544.042755	459.301931	113.322644	164.445744	149.967859	31.565682	84.740823	0.391717	0.000193	0.000527	0.001812	0.012631	0.004204	0.002040	0.075630	0.000105	0.026564	0.066148	0.012138	0.000668	0.002568	0.002709	0.010837	0.001794	0.101351	0.008286
