AgeBand	HaveFitbit	MbrCnt	Rate	Condition
18-44	No	2010328	0.002561	AIDS_HIV
18-44	No	2010328	0.000879	AMI
18-44	No	2010328	0.003242	Angina
18-44	No	2010328	0.008189	Cancer
18-44	No	2010328	0.003081	CEVD
18-44	No	2010328	0.002335	CHF
18-44	No	2010328	0.050036	COPD
18-44	No	2010328	0.000107	Dementia
18-44	No	2010328	0.029472	Diabetes
18-44	No	2010328	0.076188	HTN
18-44	No	2010328	0.013504	Liver
18-44	No	2010328	0.000861	Paralysis
18-44	No	2010328	0.002680	PVD
18-44	No	2010328	0.003434	Renal_Failure
18-44	No	2010328	0.005840	Rheumatic
18-44	No	2010328	0.001744	Ulcers
18-44	No	2010328	0.066413	Depression
18-44	No	2010328	0.008479	Skin
45-64	No	2037590	0.003910	AIDS_HIV
45-64	No	2037590	0.006878	AMI
45-64	No	2037590	0.037118	Angina
45-64	No	2037590	0.040271	Cancer
45-64	No	2037590	0.016402	CEVD
45-64	No	2037590	0.012702	CHF
45-64	No	2037590	0.073587	COPD
45-64	No	2037590	0.000684	Dementia
45-64	No	2037590	0.114523	Diabetes
45-64	No	2037590	0.303555	HTN
45-64	No	2037590	0.030785	Liver
45-64	No	2037590	0.001917	Paralysis
45-64	No	2037590	0.017010	PVD
45-64	No	2037590	0.016430	Renal_Failure
45-64	No	2037590	0.015283	Rheumatic
45-64	No	2037590	0.003738	Ulcers
45-64	No	2037590	0.068160	Depression
45-64	No	2037590	0.011538	Skin
65+	No	392096	0.001099	AIDS_HIV
65+	No	392096	0.015437	AMI
65+	No	392096	0.106932	Angina
65+	No	392096	0.081441	Cancer
65+	No	392096	0.053481	CEVD
65+	No	392096	0.043300	CHF
65+	No	392096	0.091117	COPD
65+	No	392096	0.017485	Dementia
65+	No	392096	0.147152	Diabetes
65+	No	392096	0.396048	HTN
65+	No	392096	0.025899	Liver
65+	No	392096	0.003731	Paralysis
65+	No	392096	0.061474	PVD
65+	No	392096	0.051194	Renal_Failure
65+	No	392096	0.017753	Rheumatic
65+	No	392096	0.005233	Ulcers
65+	No	392096	0.046026	Depression
65+	No	392096	0.014249	Skin
18-44	Yes	233947	0.001290	AIDS_HIV
18-44	Yes	233947	0.000777	AMI
18-44	Yes	233947	0.002928	Angina
18-44	Yes	233947	0.009878	Cancer
18-44	Yes	233947	0.002923	CEVD
18-44	Yes	233947	0.002338	CHF
18-44	Yes	233947	0.059410	COPD
18-44	Yes	233947	0.000128	Dementia
18-44	Yes	233947	0.028181	Diabetes
18-44	Yes	233947	0.077902	HTN
18-44	Yes	233947	0.013695	Liver
18-44	Yes	233947	0.000718	Paralysis
18-44	Yes	233947	0.002859	PVD
18-44	Yes	233947	0.003184	Renal_Failure
18-44	Yes	233947	0.007057	Rheumatic
18-44	Yes	233947	0.001761	Ulcers
18-44	Yes	233947	0.077256	Depression
18-44	Yes	233947	0.007800	Skin
45-64	Yes	238120	0.002074	AIDS_HIV
45-64	Yes	238120	0.006190	AMI
45-64	Yes	238120	0.035830	Angina
45-64	Yes	238120	0.044019	Cancer
45-64	Yes	238120	0.014673	CEVD
45-64	Yes	238120	0.010776	CHF
45-64	Yes	238120	0.075184	COPD
45-64	Yes	238120	0.000550	Dementia
45-64	Yes	238120	0.095405	Diabetes
45-64	Yes	238120	0.288094	HTN
45-64	Yes	238120	0.027746	Liver
45-64	Yes	238120	0.001255	Paralysis
45-64	Yes	238120	0.014685	PVD
45-64	Yes	238120	0.013203	Renal_Failure
45-64	Yes	238120	0.016046	Rheumatic
45-64	Yes	238120	0.003359	Ulcers
45-64	Yes	238120	0.068587	Depression
45-64	Yes	238120	0.010372	Skin
65+	Yes	33072	0.000665	AIDS_HIV
65+	Yes	33072	0.013001	AMI
65+	Yes	33072	0.101989	Angina
65+	Yes	33072	0.078344	Cancer
65+	Yes	33072	0.046867	CEVD
65+	Yes	33072	0.034712	CHF
65+	Yes	33072	0.082093	COPD
65+	Yes	33072	0.014604	Dementia
65+	Yes	33072	0.127177	Diabetes
65+	Yes	33072	0.383345	HTN
65+	Yes	33072	0.023736	Liver
65+	Yes	33072	0.002298	Paralysis
65+	Yes	33072	0.050586	PVD
65+	Yes	33072	0.040154	Renal_Failure
65+	Yes	33072	0.015844	Rheumatic
65+	Yes	33072	0.004626	Ulcers
65+	Yes	33072	0.042785	Depression
65+	Yes	33072	0.010462	Skin
