Gdr_Cd	HaveFitbit	MbrCnt	Rate	Condition
F	No	2102066	0.000687	AIDS_HIV
F	No	2102066	0.002821	AMI
F	No	2102066	0.015787	Angina
F	No	2102066	0.032718	Cancer
F	No	2102066	0.013093	CEVD
F	No	2102066	0.008294	CHF
F	No	2102066	0.077897	COPD
F	No	2102066	0.002143	Dementia
F	No	2102066	0.068940	Diabetes
F	No	2102066	0.186426	HTN
F	No	2102066	0.022671	Liver
F	No	2102066	0.001537	Paralysis
F	No	2102066	0.011840	PVD
F	No	2102066	0.011026	Renal_Failure
F	No	2102066	0.017716	Rheumatic
F	No	2102066	0.003335	Ulcers
F	No	2102066	0.090759	Depression
F	No	2102066	0.010364	Skin
F	Yes	297471	0.000346	AIDS_HIV
F	Yes	297471	0.001990	AMI
F	Yes	297471	0.012676	Angina
F	Yes	297471	0.032756	Cancer
F	Yes	297471	0.009900	CEVD
F	Yes	297471	0.005765	CHF
F	Yes	297471	0.078414	COPD
F	Yes	297471	0.001287	Dementia
F	Yes	297471	0.053958	Diabetes
F	Yes	297471	0.166127	HTN
F	Yes	297471	0.019991	Liver
F	Yes	297471	0.000894	Paralysis
F	Yes	297471	0.008703	PVD
F	Yes	297471	0.007799	Renal_Failure
F	Yes	297471	0.016616	Rheumatic
F	Yes	297471	0.002894	Ulcers
F	Yes	297471	0.090818	Depression
F	Yes	297471	0.008911	Skin
M	No	2337948	0.005176	AIDS_HIV
M	No	2337948	0.006803	AMI
M	No	2337948	0.038876	Angina
M	No	2337948	0.026379	Cancer
M	No	2337948	0.014141	CEVD
M	No	2337948	0.012883	CHF
M	No	2337948	0.052401	COPD
M	No	2337948	0.001694	Dementia
M	No	2337948	0.087847	Diabetes
M	No	2337948	0.228872	HTN
M	No	2337948	0.022401	Liver
M	No	2337948	0.001656	Paralysis
M	No	2337948	0.016794	PVD
M	No	2337948	0.015944	Renal_Failure
M	No	2337948	0.005390	Rheumatic
M	No	2337948	0.002636	Ulcers
M	No	2337948	0.042627	Depression
M	No	2337948	0.010418	Skin
M	Yes	207668	0.003442	AIDS_HIV
M	Yes	207668	0.007194	AMI
M	Yes	207668	0.042466	Angina
M	Yes	207668	0.027158	Cancer
M	Yes	207668	0.013401	CEVD
M	Yes	207668	0.012259	CHF
M	Yes	207668	0.053888	COPD
M	Yes	207668	0.001256	Dementia
M	Yes	207668	0.084105	Diabetes
M	Yes	207668	0.241183	HTN
M	Yes	207668	0.022386	Liver
M	Yes	207668	0.001333	Paralysis
M	Yes	207668	0.015649	PVD
M	Yes	207668	0.013950	Renal_Failure
M	Yes	207668	0.005070	Rheumatic
M	Yes	207668	0.002426	Ulcers
M	Yes	207668	0.042399	Depression
M	Yes	207668	0.009582	Skin
