Insurance	HaveEmail	HaveFitbit	Gdr_Cd	AgeBand	MbrCnt	Age	Female	HasEmail	HasFitbit	IP Admit	ER Visit	PMPM	Med	Ip	Op	Dr	Er	Rx	Charlson	AIDS_HIV	AMI	Angina	Cancer	CEVD	CHF	COPD	Dementia	Diabetes	HTN	Liver	Paralysis	PVD	Renal_Failure	Rheumatic	Ulcers	Depression	Skin
UHC-FI	No	No	F	18-44	275671	30.829833	1.000000	0.000000	0.000000	0.066227	0.225355	331.412406	294.115937	87.358909	92.651826	77.648118	36.457082	37.296468	0.240072	0.000275	0.000362	0.001316	0.006119	0.002423	0.001291	0.046573	0.000141	0.015888	0.036409	0.008412	0.000772	0.001621	0.001385	0.004795	0.001454	0.065654	0.007178
Uni-ASO	No	No	F	18-44	813204	30.027295	1.000000	0.000000	0.000000	0.065118	0.232781	340.613421	331.856886	94.249411	105.680248	91.029803	40.897422	8.756535	0.250879	0.000355	0.000332	0.001422	0.006104	0.002361	0.001400	0.048729	0.000100	0.016805	0.037277	0.008149	0.000889	0.001760	0.001704	0.005414	0.001430	0.070527	0.007203
NULL	No	No	F	18-44	1088875	30.230474	1.000000	0.000000	0.000000	0.065399	0.230901	338.283996	322.301992	92.504940	102.381837	87.641955	39.773259	15.982003	0.248143	0.000335	0.000339	0.001395	0.006108	0.002376	0.001372	0.048183	0.000111	0.016573	0.037057	0.008215	0.000859	0.001725	0.001623	0.005257	0.001436	0.069293	0.007197
UHC-FI	Yes	No	F	18-44	306216	33.557864	1.000000	1.000000	0.000000	0.081772	0.224994	491.388984	400.635816	114.237212	135.011670	112.866646	38.520286	90.753167	0.367079	0.000551	0.000574	0.002468	0.010900	0.003353	0.002001	0.062191	0.000107	0.027029	0.063896	0.012432	0.000881	0.002459	0.002831	0.009855	0.001796	0.094449	0.008771
Uni-ASO	Yes	No	F	18-44	657516	33.895899	1.000000	1.000000	0.000000	0.091965	0.243928	515.572785	487.796483	142.023724	160.239910	140.206578	45.326270	27.776301	0.364778	0.000634	0.000612	0.002389	0.010644	0.003599	0.002193	0.061105	0.000132	0.028029	0.065192	0.013029	0.000888	0.002726	0.002857	0.009587	0.002118	0.088922	0.008626
NULL	Yes	No	F	18-44	963732	33.788492	1.000000	1.000000	0.000000	0.088726	0.237912	507.888629	460.102072	133.194843	152.223895	131.519594	43.163738	47.786557	0.365509	0.000608	0.000600	0.002414	0.010726	0.003521	0.002132	0.061450	0.000124	0.027712	0.064780	0.012839	0.000886	0.002641	0.002849	0.009672	0.002016	0.090678	0.008672
NULL	NULL	No	F	18-44	2052607	31.901020	1.000000	0.469516	0.000000	0.076352	0.234193	417.916099	387.001346	111.609504	125.783484	108.243212	41.365143	30.914753	0.303248	0.000463	0.000462	0.001874	0.008276	0.002914	0.001729	0.054412	0.000117	0.021803	0.050073	0.010386	0.000872	0.002155	0.002199	0.007330	0.001708	0.079334	0.007889
UHC-FI	Yes	Yes	F	18-44	45791	33.935118	1.000000	1.000000	1.000000	0.072241	0.155292	498.308351	391.981904	110.412794	134.897397	119.890013	26.781699	106.326447	0.368860	0.000218	0.000480	0.001768	0.011727	0.002991	0.001768	0.067873	0.000109	0.022908	0.063353	0.012120	0.000698	0.002489	0.002838	0.010285	0.001572	0.100696	0.007534
Uni-ASO	Yes	Yes	F	18-44	98693	34.524211	1.000000	1.000000	1.000000	0.080917	0.168704	501.682214	471.059684	125.693673	163.776049	149.812269	31.777690	30.622530	0.371145	0.000354	0.000395	0.002087	0.011875	0.002908	0.001945	0.068930	0.000151	0.025300	0.064249	0.012635	0.000658	0.002543	0.002624	0.009585	0.002087	0.094677	0.008065
NULL	Yes	Yes	F	18-44	144484	34.337511	1.000000	1.000000	1.000000	0.078167	0.164454	500.612943	445.997735	120.850737	154.623601	140.329073	30.194322	54.615207	0.370421	0.000311	0.000422	0.001986	0.011828	0.002934	0.001889	0.068595	0.000138	0.024542	0.063965	0.012471	0.000671	0.002526	0.002692	0.009807	0.001924	0.096585	0.007897
NULL	NULL	Yes	F	18-44	144484	34.337511	1.000000	1.000000	1.000000	0.078167	0.164454	500.612943	445.997735	120.850737	154.623601	140.329073	30.194322	54.615207	0.370421	0.000311	0.000422	0.001986	0.011828	0.002934	0.001889	0.068595	0.000138	0.024542	0.063965	0.012471	0.000671	0.002526	0.002692	0.009807	0.001924	0.096585	0.007897
NULL	NULL	NULL	F	18-44	2197091	32.061248	1.000000	0.504401	0.065761	0.076471	0.229607	423.354368	390.881037	112.217221	127.680054	110.353227	40.630533	32.473330	0.307666	0.000453	0.000459	0.001881	0.008509	0.002915	0.001740	0.055345	0.000118	0.021983	0.050987	0.010523	0.000858	0.002180	0.002231	0.007493	0.001722	0.080468	0.007890
UHC-FI	No	No	M	18-44	338960	30.422108	0.000000	0.000000	0.000000	0.015084	0.154625	166.255348	140.622573	32.515597	48.922203	35.802683	23.382088	25.632774	0.189904	0.001079	0.000649	0.002118	0.002814	0.001672	0.001584	0.031083	0.000088	0.015494	0.047442	0.007800	0.000584	0.001510	0.001787	0.000961	0.001050	0.030844	0.007254
Uni-ASO	No	No	M	18-44	777239	28.874387	0.000000	0.000000	0.000000	0.017393	0.150431	182.440843	175.880449	39.744053	65.923963	45.446996	24.765435	6.560393	0.200074	0.001694	0.000649	0.001976	0.003059	0.001682	0.001713	0.032569	0.000113	0.016079	0.043828	0.007365	0.000944	0.001609	0.002135	0.001137	0.000994	0.037598	0.006910
NULL	No	No	M	18-44	1116199	29.344389	0.000000	0.000000	0.000000	0.016692	0.151705	177.525738	165.173568	37.548963	60.760980	42.518274	24.345350	12.352169	0.196986	0.001507	0.000649	0.002019	0.002985	0.001679	0.001674	0.032117	0.000105	0.015902	0.044925	0.007497	0.000834	0.001579	0.002030	0.001084	0.001011	0.035547	0.007014
UHC-FI	Yes	No	M	18-44	308478	34.425103	0.000000	1.000000	0.000000	0.019738	0.144778	300.272083	216.487924	50.461370	80.640914	61.125354	24.260285	83.784157	0.337105	0.003857	0.001322	0.004431	0.006165	0.002642	0.002706	0.040207	0.000090	0.031655	0.090450	0.014312	0.000888	0.002713	0.003967	0.002564	0.001539	0.047873	0.008765
Uni-ASO	Yes	No	M	18-44	738118	34.591979	0.000000	1.000000	0.000000	0.017934	0.133958	263.703441	237.360329	49.823165	91.235804	72.265770	24.035588	26.343111	0.324278	0.004569	0.001058	0.003827	0.005722	0.002689	0.002446	0.039241	0.000093	0.030859	0.085121	0.014034	0.000818	0.002717	0.003976	0.002206	0.001475	0.042479	0.008107
NULL	Yes	No	M	18-44	1046596	34.542793	0.000000	1.000000	0.000000	0.018466	0.137147	274.481832	231.208311	50.011273	88.113023	68.982198	24.101816	43.273521	0.328059	0.004359	0.001136	0.004005	0.005853	0.002675	0.002523	0.039526	0.000092	0.031094	0.086692	0.014116	0.000838	0.002716	0.003973	0.002312	0.001494	0.044069	0.008301
NULL	NULL	No	M	18-44	2162795	31.859944	0.000000	0.483909	0.000000	0.017550	0.144660	224.443666	197.128376	43.579587	73.996880	55.324406	24.227502	27.315290	0.260413	0.002887	0.000884	0.002980	0.004373	0.002161	0.002085	0.035702	0.000099	0.023253	0.065137	0.010700	0.000836	0.002129	0.002970	0.001678	0.001245	0.039671	0.007637
UHC-FI	Yes	Yes	M	18-44	23737	34.982895	0.000000	1.000000	1.000000	0.016219	0.109660	321.291779	227.968361	46.052729	93.293015	69.539419	19.083196	93.323417	0.362682	0.003328	0.001390	0.004086	0.006993	0.002317	0.003665	0.045835	0.000168	0.033618	0.101318	0.015587	0.000926	0.002569	0.004128	0.003075	0.001558	0.051859	0.008130
Uni-ASO	Yes	Yes	M	18-44	65726	35.400739	0.000000	1.000000	1.000000	0.015321	0.108039	262.927178	237.339176	41.069684	96.247497	80.588583	19.433410	25.588002	0.346324	0.002708	0.001338	0.004579	0.006633	0.003119	0.002845	0.044122	0.000091	0.034217	0.100082	0.015701	0.000745	0.003697	0.003925	0.002449	0.001475	0.043939	0.007470
NULL	Yes	Yes	M	18-44	89463	35.289874	0.000000	1.000000	1.000000	0.015559	0.108469	278.412915	234.852840	42.391823	95.463591	77.656936	19.340488	43.560074	0.350664	0.002872	0.001352	0.004448	0.006729	0.002906	0.003062	0.044577	0.000111	0.034058	0.100410	0.015671	0.000793	0.003398	0.003979	0.002615	0.001497	0.046041	0.007645
NULL	NULL	Yes	M	18-44	89463	35.289874	0.000000	1.000000	1.000000	0.015559	0.108469	278.412915	234.852840	42.391823	95.463591	77.656936	19.340488	43.560074	0.350664	0.002872	0.001352	0.004448	0.006729	0.002906	0.003062	0.044577	0.000111	0.034058	0.100410	0.015671	0.000793	0.003398	0.003979	0.002615	0.001497	0.046041	0.007645
