Insurance	HaveEmail	Gdr_Cd	AgeBand	HaveFitbit	MemberCnt	AllwAmt	ERv	IPHAdmit
ASO	Yes	F	18-44	No	304330	565.611221	0.234732	0.090924
ASO	Yes	F	45-64	No	322219	810.060949	0.197520	0.052945
ASO	Yes	F	65+	No	43607	848.895405	0.244272	0.110165
ASO	Yes	F	NULL	No	670156	701.578847	0.217461	0.073915
ASO	Yes	F	18-44	Yes	48572	544.495879	0.176397	0.077431
ASO	Yes	F	45-64	Yes	44868	740.762366	0.147209	0.038490
ASO	Yes	F	65+	Yes	4103	779.018030	0.182793	0.085059
ASO	Yes	F	NULL	Yes	97543	644.639704	0.163240	0.059840
ASO	Yes	M	18-44	No	295284	310.606378	0.145910	0.018731
ASO	Yes	M	45-64	No	329519	708.257429	0.154540	0.053022
ASO	Yes	M	65+	No	52615	938.647134	0.218967	0.123215
ASO	Yes	M	NULL	No	677418	552.817156	0.155782	0.043527
ASO	Yes	M	18-44	Yes	25708	352.251830	0.115294	0.017620
ASO	Yes	M	45-64	Yes	29849	719.461362	0.136118	0.048946
ASO	Yes	M	65+	Yes	3926	986.080718	0.195364	0.112837
ASO	Yes	M	NULL	Yes	59483	578.354238	0.131029	0.039624
UHC-FI	Yes	F	18-44	No	306216	491.388984	0.224994	0.081772
UHC-FI	Yes	F	45-64	No	294347	771.674371	0.186647	0.047586
UHC-FI	Yes	F	65+	No	23624	1023.355942	0.200177	0.086776
UHC-FI	Yes	F	NULL	No	624187	643.696466	0.205971	0.065840
UHC-FI	Yes	F	18-44	Yes	45791	498.308351	0.155292	0.072241
UHC-FI	Yes	F	45-64	Yes	38806	720.603037	0.137916	0.035844
UHC-FI	Yes	F	65+	Yes	2304	965.404546	0.164062	0.061631
UHC-FI	Yes	F	NULL	Yes	86901	609.959048	0.147765	0.055707
UHC-FI	Yes	M	18-44	No	308478	300.272083	0.144778	0.019738
UHC-FI	Yes	M	45-64	No	311076	703.954375	0.149754	0.052048
UHC-FI	Yes	M	65+	No	31260	1183.228667	0.186148	0.106973
UHC-FI	Yes	M	NULL	No	650814	535.634407	0.149143	0.039372
UHC-FI	Yes	M	18-44	Yes	23737	321.291779	0.109660	0.016219
UHC-FI	Yes	M	45-64	Yes	25616	741.789524	0.128396	0.048797
UHC-FI	Yes	M	65+	Yes	2446	1183.029581	0.162714	0.106704
UHC-FI	Yes	M	NULL	Yes	51799	569.931345	0.121430	0.036603
