Rnk	CUST_SEG_NM	Insurance	 MbrCnt 	 Age 	Female	IP Admit	ER Visit	 PMPM 	 Med 	 Rx 	 Charlson 	Diabetes	HTN	Depression
1	ROYAL CARIBBEAN CRUISES LTD. 	UHC-ASO	 66,953 	 36.1 	20.9%	 0.00 	 0.01 	$23	$22	$0	 0.01 	0.2%	0.4%	0.0%
2	BD-BDIL 	UHC-ASO	 60,617 	 45.5 	53.8%	 0.01 	 0.01 	$70	$70	$1	 0.04 	0.2%	0.7%	0.1%
3	STATE OF ARIZONA 	UHC-ASO	 53,506 	 47.2 	54.3%	 0.06 	 0.22 	$477	$477	$0	 0.97 	10.7%	24.3%	8.5%
4	SEVEN CORNERS - LLOYDS OF LONDON 	UHC-ASO	 48,250 	 38.3 	59.6%	 0.00 	 0.00 	$2	$2	$0	 0.00 	0.0%	0.0%	0.0%
5	NORTHWELL HEALTH 	UHC-ASO	 41,497 	 43.5 	59.0%	 0.08 	 0.17 	$658	$658	$0	 0.78 	9.3%	19.2%	5.4%
6	THE SCHOOL DISTRICT OF PALM BEACH COUNTY 	UHC-ASO	 26,586 	 45.5 	62.3%	 0.05 	 0.21 	$551	$419	$132	 0.85 	10.2%	25.4%	6.2%
7	UNIVERSITY OF MISSOURI 	UHC-ASO	 26,425 	 44.5 	54.9%	 0.06 	 0.18 	$409	$409	$0	 0.68 	7.0%	18.6%	9.9%
8	STATE OF RHODE ISLAND 	UHC-ASO	 26,345 	 48.1 	52.4%	 0.07 	 0.22 	$510	$510	$0	 1.02 	9.4%	28.5%	11.8%
9	CITY OF AUSTIN 	UHC-ASO	 23,878 	 47.2 	44.4%	 0.07 	 0.24 	$648	$464	$184	 0.94 	12.0%	26.2%	7.1%
10	PORT AUTHORITY OF NY & NJ 	UHC-ASO	 23,660 	 55.9 	47.9%	 0.09 	 0.24 	$544	$544	$0	 1.38 	14.1%	34.3%	6.6%
1	NORTHSIDE INDEPENDENT SCHOOL DISTRICT 	UHC-FI	 13,375 	 42.0 	64.4%	 0.05 	 0.17 	$421	$310	$111	 0.66 	9.0%	19.4%	6.2%
2	SOUTHWEST CARPENTERS HEALTH AND WELFARE TRUST (MEDICAL) 	UHC-FI	 12,748 	 40.0 	43.8%	 0.01 	 0.07 	$117	$99	$18	 0.15 	1.9%	4.2%	1.2%
3	STATE OF WISCONSIN 	UHC-FI	 9,453 	 46.1 	52.6%	 0.06 	 0.21 	$518	$518	$0	 0.81 	8.5%	20.8%	10.4%
4	ARIZONA STATE RETIREMENT SYSTEM 	UHC-FI	 8,661 	 58.2 	59.7%	 0.05 	 0.16 	$697	$537	$160	 1.11 	12.6%	31.9%	7.9%
5	DISTRICT OF COLUMBIA GOVERNMENT 	UHC-FI	 7,805 	 41.0 	56.3%	 0.06 	 0.33 	$535	$402	$133	 0.77 	9.4%	21.2%	5.7%
6	GENERAL ATOMICS 	UHC-FI	 7,063 	 44.6 	45.7%	 0.02 	 0.05 	$177	$177	$0	 0.23 	2.1%	6.2%	2.5%
